PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf
22101572,Electrical,Lights / Fans,Recessed / Can Lights,514114,HLBSL609FS5,"HLBSL609FS5 6"" Down Light",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Cooper Lighting (7638)
25286133,Electrical,Lights / Fans,Ceiling Lights,1516539,WF4REGSWW590CRIMW,"WF4REGSWW590CRIMW 4"" Down Light",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Lithonia Lighting (2776)
22010601,Electrical,Lights / Fans,Ceiling Lights,1506508,62-1777,"62-1777 15"" Ceiling Lt Wh",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Satco Prod Inc (5573)
22010602,Electrical,Lights / Fans,Ceiling Lights,1506510,62-1778,"62-1778 19"" Ceiling Lt Wh",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Satco Prod Inc (5573)
22010608,Electrical,Lights / Fans,Rope Lights,1514983,62-1784,62-1784 24x24 Led Ceiling Lt,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Satco Prod Inc (5573)
22010611,Electrical,Lights / Fans,Ceiling Lights,1506509,62-1787,"62-1787 15"" Ceiling Lt Bk",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Satco Prod Inc (5573)
22010612,Electrical,Lights / Fans,Ceiling Lights,1506511,62-1788,"62-1788 19"" Ceiling Lt Bk",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Satco Prod Inc (5573)
25286467,Electrical,Lights / Fans,Kichler Wall,K55209NI,55209NI,55209NI Kichler Wall Sconce,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Kichler Lighting (KICLI)
22010998,Electrical,Lights / Fans,Ceiling Lights,507584,65-1210,65-1210 2' LED Wrap Lt,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Satco Prod Inc (5573)
22010999,Electrical,Lights / Fans,Ceiling Lights,529940,65-1211,65-1211 4' Led Wrap Light,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Satco Prod Inc (5573)
25284603,Electrical,120 Volt Bulbs / Ballasts,Fluorescent - Tube,505821,141465,"141465 15W Flor 18"" T12 27k",-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
25284605,Electrical,120 Volt Bulbs / Ballasts,Fluorescent - Tube,506063,391227,"391227 32W Led 12"" T9 30K",-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
25284725,Electrical,120 Volt Bulbs / Ballasts,Fluorescent - Tube,523473,392225,"392225 22W Flor 8"" T9 30k",-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
15241822,Electrical,120 Volt Bulbs / Ballasts,Halogen,502381,S3539,S3539 20W Halogen Pin T4,-- Unbranded --,-- No Unilog Brand --,Satco,Satco Prod Inc (5573)
15247048,Electrical,120 Volt Bulbs / Ballasts,Halogen,533955,S3496,S3496 300W Halogen T3 Bulb,-- Unbranded --,-- No Unilog Brand --,Satco,Satco Prod Inc (5573)
15245157,Electrical,120 Volt Bulbs / Ballasts,Incandescent,505144,S3709,S3709 25W Incan 27K,-- Unbranded --,-- No Unilog Brand --,Satco,Satco Prod Inc (5573)
15245165,Electrical,120 Volt Bulbs / Ballasts,Incandescent,500425,S4720,S4720 25W Incan 27K,-- Unbranded --,-- No Unilog Brand --,Satco,Satco Prod Inc (5573)
15251565,Electrical,120 Volt Bulbs / Ballasts,Incandescent,500434,S3720,S3720 40w Inc A15  Med 26k,-- Unbranded --,-- No Unilog Brand --,Satco,Satco Prod Inc (5573)
15251614,Electrical,120 Volt Bulbs / Ballasts,Incandescent,505199,S3702,S3702 40W Incan Med 27K,-- Unbranded --,-- No Unilog Brand --,Satco,Satco Prod Inc (5573)
15251615,Electrical,120 Volt Bulbs / Ballasts,Incandescent,502799,S3703,S3703 40W Incan Med 27K,-- Unbranded --,-- No Unilog Brand --,Satco,Satco Prod Inc (5573)
15253651,Electrical,120 Volt Bulbs / Ballasts,Incandescent,515703,S3797,S3797 4W Incan Cand 27K 2pk,-- Unbranded --,-- No Unilog Brand --,Satco,Satco Prod Inc (5573)
15253652,Electrical,120 Volt Bulbs / Ballasts,Incandescent,528528,S4724,S4724 4W Incan Cand 27K 4pk,-- Unbranded --,-- No Unilog Brand --,Satco,Satco Prod Inc (5573)
15257810,Electrical,120 Volt Bulbs / Ballasts,Incandescent,532037,S4717,S4717 6W Incan Cand 27k 2pk,-- Unbranded --,-- No Unilog Brand --,Satco,Satco Prod Inc (5573)
15257856,Electrical,120 Volt Bulbs / Ballasts,Incandescent,504895,S3794,S3794 7W Incan Med 27K,-- Unbranded --,-- No Unilog Brand --,Satco,Satco Prod Inc (5573)
15257863,Electrical,120 Volt Bulbs / Ballasts,Incandescent,504902,S3795,S3795 7W Incan Med 27K,-- Unbranded --,-- No Unilog Brand --,Satco,Satco Prod Inc (5573)
15258616,Electrical,120 Volt Bulbs / Ballasts,Incandescent,528560,S4726,S4726 7W Incan Cand 27K 4pk,-- Unbranded --,-- No Unilog Brand --,Satco,Satco Prod Inc (5573)
18942116,Electrical,120 Volt Bulbs / Ballasts,LED,1503926,S21354,S21354 8W Led T9 Med 27k,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Satco Prod Inc (5573)
18942125,Electrical,120 Volt Bulbs / Ballasts,LED,1508175,S21363,S21363 8W Led Edison ST19 27K,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Satco Prod Inc (5573)
20618375,Electrical,120 Volt Bulbs / Ballasts,LED,1503212,S11445,S11445 12W Led Med 30k Motion,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Satco Prod Inc (5573)
25284618,Electrical,120 Volt Bulbs / Ballasts,LED,507441,576496,576496 45W Led R20 Med 27k,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
25284660,Electrical,120 Volt Bulbs / Ballasts,LED,513574,571497,571497 150W Led Med 27k,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
25284673,Electrical,120 Volt Bulbs / Ballasts,LED,514694,574004,574004 75W Led ST19 27k 2pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
25284675,Electrical,120 Volt Bulbs / Ballasts,LED,514767,574012,574012 75W Led ST19 50k 2pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
25284680,Electrical,120 Volt Bulbs / Ballasts,LED,515279,573971,573971 75W Led ST19 20k 4pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
25284683,Electrical,120 Volt Bulbs / Ballasts,LED,516052,573989,573989 40W Led Med 27K 4pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
25284700,Electrical,120 Volt Bulbs / Ballasts,LED,519432,576769,576769 65W Led BR30 Med 27k,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
25284702,Electrical,120 Volt Bulbs / Ballasts,LED,519609,573997,573997 40W Led Med 50k 4pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
25284704,Electrical,120 Volt Bulbs / Ballasts,LED,519846,571463,571463 100W Led BR30 Med 50k,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
25284708,Electrical,120 Volt Bulbs / Ballasts,LED,520341,576512,576512 65W Led BR40 Med 27k,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
25284755,Electrical,120 Volt Bulbs / Ballasts,LED,529782,573436,573436 60W Led A19 Med 27k 2pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
25284763,Electrical,120 Volt Bulbs / Ballasts,LED,530493,573451,573451 40W Led Med 27k 2pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
25284779,Electrical,120 Volt Bulbs / Ballasts,LED,532596,575217,575217 60W Led Med 50k 2pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
25284781,Electrical,120 Volt Bulbs / Ballasts,LED,532775,571471,571471 100W Led BR30 Med 27k,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
25284790,Electrical,120 Volt Bulbs / Ballasts,LED,533881,573378,573378 60W Led Med 27k 3pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
25284819,Electrical,120 Volt Bulbs / Ballasts,LED,537825,564385,564385 40w Led Med 27k 2pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
25284832,Electrical,120 Volt Bulbs / Ballasts,LED,538989,564450,564450 40W Led Cand 27k 2pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
25284847,Electrical,120 Volt Bulbs / Ballasts,LED,541473,573410,573410 40W Led A19 Med 27k 2pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
25284857,Electrical,120 Volt Bulbs / Ballasts,LED,542536,574392,574392 40W Led B11 Med 27k 3pk,-- Unbranded --,-- No Unilog Brand --,Philips,Phillips Lighting (5831)
22059489,Electrical,Batteries / Flashlights,Headlights,562393,97708,97708 Police 800L Headlight,-- Unbranded --,-- No Unilog Brand --,Police Security,Police Security (9470)
25284879,Electrical,Cords / Wire,Wire,546414-LF,13093005,4/0 Aluminum Entrance Cable (Linear Foot),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Southwire/g Turner (6603)
16864596,Electrical,Cords / Wire,Wire,558370-LF,96263-46-06,96263-46-06 CAT5E Wire (Linear Foot),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Woods Wire Southwire (7579)
22113861,Electrical,Wire Devices,Receptacles,501463,R00-GFNT1-00K,R00GFNT100K 15A Outlet Br,-- Unbranded --,-- No Unilog Brand --,Leviton,Leviton Mfg Co (4927)
25284558,Electrical,Wire Devices,Receptacles,501513,R92-GFWT1-0KW,R92GFWT10KW 15A GFCI Outlet Wh,-- Unbranded --,-- No Unilog Brand --,Leviton,Leviton Mfg Co (4927)
25284794,Electrical,Wire Devices,Receptacles,534069,R12-AGTR1-0KW,R12AGTR10KW 15A GFCI Outler Wh,-- Unbranded --,-- No Unilog Brand --,Leviton,Leviton Mfg Co (4927)
25284849,Electrical,Wire Devices,Receptacles,541634,R62-GFTA1-0KW,R92GFTA10KW 15A GFCI Outlet Wh,-- Unbranded --,-- No Unilog Brand --,Leviton,Leviton Mfg Co (4927)
25284837,Electrical,Wire Devices,Receptacles,539721,R02-GUAC1-0BW,R02GUAC10BW 15A/USB Outlet Wh,-- Unbranded --,-- No Unilog Brand --,Leviton,Leviton Mfg Co (4927)
25286183,Appliances,Large Appliances,Refrigerators - Electric,1516774,XOU2470BCGS,XOU2470BCGS Tall Beverage Center SS,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Appliance Dealers Cooperative (APPDE)
25286185,Appliances,Large Appliances,Refrigerators - Electric,1516776,XOU24WDZGBR,XOU24WDZGBR Beverage Center Bk,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Appliance Dealers Cooperative (APPDE)
25285207,Appliances,Large Appliances,Ranges - Electric,1507404,WOSP30100SS,WOSP30100SS Beko Wall Oven SS,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Appliance Dealers Cooperative (APPDE)
20138597,Appliances,Large Appliances,Ranges - Electric,1516047,PEP9030DTBB,"PEP9030DTBB 30"" GE Cooktop Bk",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Appliance Dealers Cooperative (APPDE)
20137987,Appliances,Large Appliances,Ranges - Electric,1515791,CHP90301TBB,CHP90301TBB Café Cooktop Bk,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Appliance Dealers Cooperative (APPDE)
21280034,Tools,Hand Tools,Templates - Jigs,71433,TP-1935,TP-1935 Hole Drilling System,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,-
25285374,Lumber and Building Materials,Deck Railing /Columns /Lattice,RDI Finyl Line Vinyl Railing,1509088,73002252,Black Gate Gravity Latch RDI,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,-
24592215,Tools,Safety Equipment,Glasses-Goggles-Face Shields,1509093,XB11PCVS,XB11PCVS Edge Safety Glasses - Photochromic Lense,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Edge Eyewear Inc (EDGSA)
25286024,Tools,Safety Equipment,Glasses-Goggles-Face Shields,1515816,TC126VS,TC126VS Edge Safety Glasses - Tacana Black Frame,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Edge Eyewear Inc (EDGSA)
25286025,Tools,Safety Equipment,Glasses-Goggles-Face Shields,1515817,MK113MPAP,MK113MPAP Edge Safety Glasses - Makalu Black Frame Polarized,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Edge Eyewear Inc (EDGSA)
25286026,Tools,Safety Equipment,Glasses-Goggles-Face Shields,1515818,LS117MPAP,LS117MPAP Edge Safety Glasses - Lassen Black Frame Polarized,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Edge Eyewear Inc (EDGSA)
25285943,Electrical,Home Security,Fire Extinguishers,1515190,FE-EFX-9L,FEEFX9L Lith Fire Extinguisher,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Ohio Firewatch Protection Inc (HOLFS)
16094905,Tools,Construction Tools Non Power,Laser Measure - Scanners,317449,DW08802CG,DW08802CG Dewalt Laser Green - Self-Level Cross Line,-- Unbranded --,-- No Unilog Brand --,DEWALT,Black & Decker/dewlt (2585)
16096062,Tools,Construction Tools Non Power,Laser Measure - Scanners,331553,DW088CG,DW088CG Dewalt Laser - Green Cross Line,-- Unbranded --,-- No Unilog Brand --,DEWALT,Black & Decker/dewlt (2585)
16096263,Tools,Construction Tools Non Power,Laser Measure - Scanners,348410,DW089CG,DW089CG Dewalt Laser Level - 3 Line 30ft Range,-- Unbranded --,-- No Unilog Brand --,DEWALT,Black & Decker/dewlt (2585)
17460053,Tools,Construction Tools Non Power,Laser Measure - Scanners,376885,DCLE34520GB,DCLE34520GB Dewalt Laser 20V - Cross Line 5 Spot (Bare),-- Unbranded --,-- No Unilog Brand --,DEWALT,Black & Decker/dewlt (2585)
24297715,Tools,Construction Tools Non Power,Laser Measure - Scanners,391371,DCLE34031B,DCLE34031B Dewalt Line Laser - 20V Self-Leveling (Bare),-- Unbranded --,-- No Unilog Brand --,DEWALT,Black & Decker/dewlt (2585)
24297717,Tools,Construction Tools Non Power,Laser Measure - Scanners,331832,DW0822CG,DW0822CG Dewalt Cross Line - Plumb Spots Laser-Green,-- Unbranded --,-- No Unilog Brand --,DEWALT,Black & Decker/dewlt (2585)
